tissue	N	ensid	gene	local.h2	local.se	local.p	gene	global.h2	global.se	global.p	gene	loc.jt.h2	loc.jt.se	glo.jt.h2	glo.jt.se
DGN-WB	922	ENSG00000111145.3	ELK3	0.015803	0.015596	0.1117	ELK3	0.135957	0.156368	0.1909	ELK3	0.015394	0.015496	0.127714	0.155458
DGN-WB	922	ENSG00000111144.5	LTA4H	0.428188	0.051132	0	LTA4H	0.135934	0.157610	0.1952	LTA4H	0.428420	0.051142	0.050287	0.102694
DGN-WB	922	ENSG00000168216.6	LMBRD1	0.000001	0.009957	0.5	LMBRD1	0.135928	0.161062	0.2076	LMBRD1	0.000001	0.010003	0.130462	0.160722
DGN-WB	922	ENSG00000160145.10	KALRN	0.184017	0.039766	0	KALRN	0.135925	0.158826	0.201	KALRN	0.183871	0.039765	0.013859	0.134365
DGN-WB	922	ENSG00000172663.4	TMEM134	0.006829	0.011081	0.2568	TMEM134	0.135892	0.150420	0.1728	TMEM134	0.006399	0.010879	0.132775	0.150377
DGN-WB	922	ENSG00000167978.12	SRRM2	0.011535	0.014708	0.2179	SRRM2	0.135810	0.160730	0.2018	SRRM2	0.013670	0.015364	0.155467	0.160656
DGN-WB	922	ENSG00000157303.6	SUSD3	0.248572	0.056664	0	SUSD3	0.135804	0.157521	0.1941	SUSD3	0.250112	0.056645	0.147063	0.125985
DGN-WB	922	ENSG00000183439.5	TRIM61	0.067251	0.029425	0.003618	TRIM61	0.135675	0.164009	0.2162	TRIM61	0.067802	0.029567	0.132395	0.158387
DGN-WB	922	ENSG00000180354.11	C7orf41	0.030259	0.021015	0.04056	C7orf41	0.135562	0.158747	0.1999	C7orf41	0.030436	0.021089	0.135116	0.157595
DGN-WB	922	ENSG00000169575.4	VPREB1	0.027641	0.016695	0.003023	VPREB1	0.135559	0.157303	0.1913	VPREB1	0.027366	0.016609	0.120380	0.155915
DGN-WB	922	ENSG00000160746.8	ANO10	0.096621	0.030903	9.187e-14	ANO10	0.135551	0.162022	0.2136	ANO10	0.096484	0.030895	0.052789	0.147630
DGN-WB	922	ENSG00000135926.8	TMBIM1	0.028856	0.018092	0.001913	TMBIM1	0.135514	0.155437	0.1915	TMBIM1	0.028807	0.018129	0.115622	0.151351
DGN-WB	922	ENSG00000167216.12	KATNAL2	0.078993	0.027661	7.271e-07	KATNAL2	0.135503	0.161081	0.2025	KATNAL2	0.078145	0.027534	0.086886	0.153000
DGN-WB	922	ENSG00000107672.10	NSMCE4A	0.058664	0.026560	0.0007783	NSMCE4A	0.135384	0.152272	0.1775	NSMCE4A	0.060646	0.026921	0.160720	0.150733
DGN-WB	922	ENSG00000096717.7	SIRT1	0.168525	0.043559	0	SIRT1	0.135331	0.157677	0.1956	SIRT1	0.168607	0.043589	0.035091	0.136509
DGN-WB	922	ENSG00000169905.7	TOR1AIP2	0.032048	0.019383	0.003073	TOR1AIP2	0.135329	0.160791	0.2141	TOR1AIP2	0.030841	0.018991	0.095536	0.158461
DGN-WB	922	ENSG00000197405.3	C5AR1	0.010261	0.013728	0.1795	C5AR1	0.135287	0.155536	0.1877	C5AR1	0.010624	0.013808	0.138985	0.154997
DGN-WB	922	ENSG00000002549.8	LAP3	0.323366	0.049741	0	LAP3	0.135255	0.160797	0.2065	LAP3	0.323749	0.049769	0.038159	0.119989
DGN-WB	922	ENSG00000136238.13	RAC1	0.491254	0.047979	0	RAC1	0.135202	0.158782	0.2007	RAC1	0.492126	0.048037	0.109587	0.090845
DGN-WB	922	ENSG00000188785.7	ZNF548	0.238080	0.043474	0	ZNF548	0.135199	0.156663	0.192	ZNF548	0.236844	0.043303	0.126534	0.129322
DGN-WB	922	ENSG00000177398.13	UMODL1	0.202891	0.042981	2.429e-10	UMODL1	0.135185	0.159484	0.1988	UMODL1	0.202829	0.042886	0.142141	0.140290
DGN-WB	922	ENSG00000163386.15	NBPF10	0.010215	0.010482	0.02617	NBPF10	0.135017	0.144804	0.1558	NBPF10	0.010156	0.010441	0.135922	0.144255
DGN-WB	922	ENSG00000170921.10	TANC2	0.132015	0.037232	0	TANC2	0.134946	0.162317	0.2094	TANC2	0.131247	0.036871	0.239887	0.148483
DGN-WB	922	ENSG00000167236.2	CCL23	0.115782	0.034814	1.747e-07	CCL23	0.134936	0.155761	0.1891	CCL23	0.115301	0.034730	0.117460	0.144818
DGN-WB	922	ENSG00000100412.11	ACO2	0.005738	0.008056	0.1472	ACO2	0.134837	0.162590	0.2097	ACO2	0.005732	0.008008	0.136854	0.162323
DGN-WB	922	ENSG00000206561.8	COLQ	0.095149	0.031784	7.135e-09	COLQ	0.134733	0.157258	0.1972	COLQ	0.096682	0.032020	0.173885	0.149502
DGN-WB	922	ENSG00000121742.11	GJB6	0.404952	0.049400	0	GJB6	0.134716	0.156251	0.1904	GJB6	0.405100	0.049358	0.133503	0.101828
DGN-WB	922	ENSG00000197275.8	RAD54B	0.242836	0.042712	0	RAD54B	0.134676	0.164327	0.2169	RAD54B	0.242940	0.042715	0.081859	0.131712
DGN-WB	922	ENSG00000244486.3	SCARF2	0.038282	0.020993	0.001718	SCARF2	0.134670	0.161012	0.2036	SCARF2	0.037685	0.020724	0.130818	0.156972
DGN-WB	922	ENSG00000173598.9	NUDT4	0.293706	0.047795	0	NUDT4	0.134625	0.151352	0.1737	NUDT4	0.293618	0.047802	0.017898	0.111681
DGN-WB	922	ENSG00000186716.15	BCR	0.309683	0.055307	0	BCR	0.134600	0.163322	0.2131	BCR	0.295022	0.054334	0.000001	0.120472
DGN-WB	922	ENSG00000164111.10	ANXA5	0.691718	0.037633	0	ANXA5	0.134540	0.154046	0.1844	ANXA5	0.682445	0.038532	0.000001	0.055576
DGN-WB	922	ENSG00000145685.9	LHFPL2	0.077094	0.026293	7.419e-10	LHFPL2	0.134478	0.148089	0.1627	LHFPL2	0.076031	0.026041	0.124355	0.140917
DGN-WB	922	ENSG00000250565.2	ATP6V1E2	0.336261	0.045685	0	ATP6V1E2	0.134467	0.161772	0.2157	ATP6V1E2	0.334082	0.045488	0.175091	0.120621
DGN-WB	922	ENSG00000135486.13	HNRNPA1	0.000001	0.009122	0.5	HNRNPA1	0.134443	0.163778	0.2178	HNRNPA1	0.000001	0.009005	0.134124	0.163764
DGN-WB	922	ENSG00000002745.8	WNT16	0.065143	0.027448	1.746e-05	WNT16	0.134436	0.152081	0.1784	WNT16	0.065666	0.027544	0.140971	0.146944
DGN-WB	922	ENSG00000071054.11	MAP4K4	0.002210	0.010464	0.4169	MAP4K4	0.134414	0.153356	0.1874	MAP4K4	0.002036	0.010442	0.133807	0.153359
DGN-WB	922	ENSG00000026652.9	AGPAT4	0.019438	0.018217	0.097	AGPAT4	0.134361	0.159655	0.205	AGPAT4	0.018342	0.017903	0.115385	0.158793
DGN-WB	922	ENSG00000108179.9	PPIF	0.093488	0.030385	1.717e-06	PPIF	0.134340	0.156345	0.1944	PPIF	0.092145	0.030208	0.073032	0.147075
DGN-WB	922	ENSG00000101187.11	SLCO4A1	0.078824	0.029552	0.0002021	SLCO4A1	0.134319	0.157722	0.1951	SLCO4A1	0.079486	0.029673	0.127014	0.152943
DGN-WB	922	ENSG00000125531.5	C20orf195	0.057636	0.027198	0.00519	C20orf195	0.134313	0.149616	0.1713	C20orf195	0.058319	0.027329	0.139490	0.146254
DGN-WB	922	ENSG00000177885.9	GRB2	0.035637	0.017418	5.109e-05	GRB2	0.134230	0.159567	0.2031	GRB2	0.035453	0.017342	0.136255	0.157715
DGN-WB	922	ENSG00000069974.11	RAB27A	0.180341	0.038914	0	RAB27A	0.134068	0.153646	0.184	RAB27A	0.179632	0.038740	0.162420	0.134143
DGN-WB	922	ENSG00000157873.13	TNFRSF14	0.118163	0.032715	3.164e-15	TNFRSF14	0.134045	0.152237	0.1884	TNFRSF14	0.117856	0.032696	0.025756	0.138628
DGN-WB	922	ENSG00000243811.2	APOBEC3D	0.190334	0.047503	1.63e-09	APOBEC3D	0.134044	0.157733	0.1939	APOBEC3D	0.190883	0.047594	0.116889	0.135316
DGN-WB	922	ENSG00000137507.7	LRRC32	0.661496	0.038215	0	LRRC32	0.133969	0.151549	0.1799	LRRC32	0.660391	0.038298	0.112085	0.062089
DGN-WB	922	ENSG00000166341.6	DCHS1	0.482758	0.047844	0	DCHS1	0.133920	0.158742	0.2028	DCHS1	0.482313	0.047860	0.028961	0.096203
DGN-WB	922	ENSG00000180573.8	HIST1H2AC	0.000001	0.007811	0.5	HIST1H2AC	0.133908	0.166558	0.2274	HIST1H2AC	0.000001	0.007978	0.135080	0.166691
DGN-WB	922	ENSG00000138778.7	CENPE	0.024728	0.015370	0.0003694	CENPE	0.133896	0.152363	0.183	CENPE	0.024392	0.015237	0.125059	0.150589
DGN-WB	922	ENSG00000197362.9	ZNF786	0.213803	0.039993	0	ZNF786	0.133852	0.161594	0.2132	ZNF786	0.214386	0.040102	0.096020	0.133915
DGN-WB	922	ENSG00000148908.10	RGS10	0.065910	0.029634	0.002426	RGS10	0.133820	0.155874	0.1954	RGS10	0.066108	0.029623	0.128001	0.151069
DGN-WB	922	ENSG00000185414.14	MRPL30	0.026204	0.017229	0.0001373	MRPL30	0.133786	0.160056	0.212	MRPL30	0.025998	0.017200	0.111325	0.158443
DGN-WB	922	ENSG00000162873.10	KLHDC8A	0.030122	0.020837	0.0245	KLHDC8A	0.133671	0.152279	0.1876	KLHDC8A	0.032642	0.021410	0.175160	0.151640
DGN-WB	922	ENSG00000133247.9	SUV420H2	0.151416	0.037649	2.636e-09	SUV420H2	0.133640	0.158475	0.1999	SUV420H2	0.149559	0.037442	0.097761	0.147543
DGN-WB	922	ENSG00000170264.8	FAM161A	0.030350	0.019152	0.002173	FAM161A	0.133632	0.149231	0.176	FAM161A	0.030229	0.019163	0.126116	0.146755
DGN-WB	922	ENSG00000165181.12	C9orf84	0.000001	0.011401	0.5	C9orf84	0.133553	0.155563	0.1918	C9orf84	0.000001	0.011492	0.133269	0.155555
DGN-WB	922	ENSG00000135503.8	ACVR1B	0.016390	0.016008	0.1195	ACVR1B	0.133544	0.157162	0.1988	ACVR1B	0.015851	0.015819	0.126125	0.155919
DGN-WB	922	ENSG00000163435.11	ELF3	0.357292	0.044029	0	ELF3	0.133373	0.153231	0.1924	ELF3	0.358299	0.044057	0.096940	0.109610
DGN-WB	922	ENSG00000120254.11	MTHFD1L	0.100837	0.035881	0.0002369	MTHFD1L	0.133366	0.153137	0.1852	MTHFD1L	0.102747	0.036034	0.159738	0.146644
DGN-WB	922	ENSG00000179455.6	MKRN3	0.031906	0.019636	0.009118	MKRN3	0.133244	0.169821	0.2359	MKRN3	0.031568	0.019551	0.114746	0.165841
DGN-WB	922	ENSG00000105339.6	DENND3	0.140624	0.037310	2.171e-10	DENND3	0.133184	0.156362	0.1943	DENND3	0.142225	0.037432	0.152464	0.141451
DGN-WB	922	ENSG00000167642.8	SPINT2	0.169697	0.048515	3.277e-08	SPINT2	0.133147	0.158269	0.2007	SPINT2	0.168957	0.048480	0.070068	0.137273
DGN-WB	922	ENSG00000138069.12	RAB1A	0.025855	0.017854	0.02224	RAB1A	0.133116	0.152490	0.1865	RAB1A	0.026423	0.017976	0.141646	0.150395
DGN-WB	922	ENSG00000142166.8	IFNAR1	0.204382	0.042942	5.551e-16	IFNAR1	0.133060	0.159649	0.2027	IFNAR1	0.202316	0.042729	0.000001	0.133658
DGN-WB	922	ENSG00000104863.7	LIN7B	0.159710	0.041352	1.509e-08	LIN7B	0.133009	0.159974	0.2057	LIN7B	0.157720	0.041176	0.065300	0.141564
DGN-WB	922	ENSG00000154122.8	ANKH	0.629848	0.042058	0	ANKH	0.132904	0.157536	0.201	ANKH	0.629731	0.042092	0.055447	0.069335
DGN-WB	922	ENSG00000119943.6	PYROXD2	0.157297	0.047410	2.246e-10	PYROXD2	0.132839	0.154634	0.1929	PYROXD2	0.156435	0.047241	0.095077	0.135897
DGN-WB	922	ENSG00000078269.9	SYNJ2	0.440130	0.050289	0	SYNJ2	0.132697	0.154394	0.1917	SYNJ2	0.439163	0.050262	0.137362	0.100153
DGN-WB	922	ENSG00000243477.1	NAT6	0.331507	0.084804	0	NAT6	0.132687	0.156682	0.2004	NAT6	0.332713	0.084947	0.091979	0.106301
DGN-WB	922	ENSG00000173338.8	KCNK7	0.192728	0.048358	5.551e-17	KCNK7	0.132640	0.155969	0.1961	KCNK7	0.192069	0.048315	0.029685	0.128793
DGN-WB	922	ENSG00000131470.10	PSMC3IP	0.014981	0.014132	0.08342	PSMC3IP	0.132619	0.158760	0.202	PSMC3IP	0.016157	0.014614	0.149286	0.157941
DGN-WB	922	ENSG00000167085.7	PHB	0.000001	0.013112	0.5	PHB	0.132560	0.154298	0.1876	PHB	0.000001	0.013306	0.137354	0.154779
DGN-WB	922	ENSG00000079257.3	LXN	0.227962	0.051289	0	LXN	0.132560	0.157964	0.2037	LXN	0.227640	0.051242	0.042379	0.124759
DGN-WB	922	ENSG00000110851.7	PRDM4	0.256534	0.047374	0	PRDM4	0.132555	0.155209	0.1931	PRDM4	0.254940	0.047279	0.043413	0.119122
DGN-WB	922	ENSG00000198242.9	RPL23A	0.009694	0.010558	0.08594	RPL23A	0.132469	0.157801	0.2001	RPL23A	0.010414	0.010784	0.155655	0.158596
DGN-WB	922	ENSG00000154025.11	SLC5A10	0.398437	0.060190	0	SLC5A10	0.132451	0.158542	0.2026	SLC5A10	0.398121	0.060176	0.054669	0.100043
DGN-WB	922	ENSG00000108375.8	RNF43	0.032286	0.018015	0.0001954	RNF43	0.132448	0.154578	0.1893	RNF43	0.032409	0.018109	0.128798	0.151719
DGN-WB	922	ENSG00000090989.13	EXOC1	0.026449	0.020019	0.06475	EXOC1	0.132446	0.154942	0.1922	EXOC1	0.025964	0.019866	0.128222	0.154513
DGN-WB	922	ENSG00000143294.10	PRCC	0.000001	0.011145	0.5	PRCC	0.132371	0.150772	0.1874	PRCC	0.000001	0.011212	0.131187	0.150727
DGN-WB	922	ENSG00000163930.5	BAP1	0.014222	0.013236	0.06231	BAP1	0.132328	0.157132	0.2021	BAP1	0.013437	0.012867	0.110412	0.156101
DGN-WB	922	ENSG00000113300.7	CNOT6	0.290017	0.046339	0	CNOT6	0.132260	0.152674	0.1836	CNOT6	0.293693	0.046546	0.237349	0.121910
DGN-WB	922	ENSG00000164902.9	PHAX	0.014082	0.015203	0.1439	PHAX	0.132238	0.163409	0.2208	PHAX	0.016300	0.015998	0.160260	0.163627
DGN-WB	922	ENSG00000117691.5	NENF	0.032557	0.019918	0.00799	NENF	0.132236	0.151809	0.1891	NENF	0.032498	0.019874	0.139303	0.151632
DGN-WB	922	ENSG00000125730.12	C3	0.132070	0.036545	3.503e-07	C3	0.132227	0.163901	0.22	C3	0.131480	0.036422	0.111970	0.150810
DGN-WB	922	ENSG00000162367.7	TAL1	0.063483	0.026037	3.324e-05	TAL1	0.132162	0.155462	0.2014	TAL1	0.063428	0.026002	0.132768	0.150984
DGN-WB	922	ENSG00000138496.12	PARP9	0.083250	0.028307	8.544e-09	PARP9	0.132155	0.162760	0.2208	PARP9	0.083374	0.028336	0.128709	0.152520
DGN-WB	922	ENSG00000163002.8	NUP35	0.076672	0.027381	2.053e-07	NUP35	0.132072	0.157152	0.2024	NUP35	0.076264	0.027230	0.137710	0.152569
DGN-WB	922	ENSG00000196284.9	SUPT3H	0.164028	0.035986	0	SUPT3H	0.132061	0.155008	0.1947	SUPT3H	0.163989	0.036017	0.066940	0.139884
DGN-WB	922	ENSG00000008516.12	MMP25	0.172069	0.040173	0	MMP25	0.132040	0.161887	0.2127	MMP25	0.171829	0.040136	0.142967	0.142051
DGN-WB	922	ENSG00000125084.7	WNT1	0.000001	0.007259	0.5	WNT1	0.132007	0.156148	0.1981	WNT1	0.000001	0.007292	0.127959	0.155885
DGN-WB	922	ENSG00000109654.10	TRIM2	0.000001	0.013020	0.5	TRIM2	0.132000	0.155058	0.1959	TRIM2	0.000001	0.012952	0.124223	0.154675
DGN-WB	922	ENSG00000175193.8	PARL	0.075380	0.025003	1.627e-10	PARL	0.131958	0.152671	0.1894	PARL	0.075820	0.025069	0.139100	0.145681
DGN-WB	922	ENSG00000030110.8	BAK1	0.688649	0.033309	0	BAK1	0.131933	0.153087	0.188	BAK1	0.689409	0.033213	0.057275	0.055580
DGN-WB	922	ENSG00000168795.4	ZBTB5	0.037025	0.021252	0.003576	ZBTB5	0.131881	0.159420	0.2089	ZBTB5	0.038230	0.021629	0.145230	0.156896
DGN-WB	922	ENSG00000069849.6	ATP1B3	0.066971	0.027225	8.186e-07	ATP1B3	0.131875	0.148676	0.1756	ATP1B3	0.066026	0.026951	0.115859	0.143656
DGN-WB	922	ENSG00000134028.10	ADAMDEC1	0.213318	0.044881	0	ADAMDEC1	0.131841	0.160942	0.2101	ADAMDEC1	0.213111	0.044660	0.216055	0.141072
DGN-WB	922	ENSG00000165861.9	ZFYVE1	0.068051	0.026393	2.129e-07	ZFYVE1	0.131814	0.163735	0.2207	ZFYVE1	0.069824	0.026791	0.180729	0.157246
DGN-WB	922	ENSG00000179958.4	DCTPP1	0.005356	0.008492	0.1957	DCTPP1	0.131797	0.150629	0.1772	DCTPP1	0.005776	0.008713	0.139052	0.150475
DGN-WB	922	ENSG00000064300.4	NGFR	0.000001	0.011715	0.5	NGFR	0.131685	0.159886	0.2069	NGFR	0.000001	0.011854	0.130360	0.159748
DGN-WB	922	ENSG00000135318.7	NT5E	0.270121	0.047434	0	NT5E	0.131611	0.161953	0.2173	NT5E	0.225285	0.041023	0.000001	0.135428
DGN-WB	922	ENSG00000143641.8	GALNT2	0.061380	0.025191	0.0001942	GALNT2	0.131529	0.153005	0.1928	GALNT2	0.061781	0.025208	0.146157	0.150600
DGN-WB	922	ENSG00000104886.4	PLEKHJ1	0.129687	0.035196	2.212e-08	PLEKHJ1	0.131529	0.155997	0.1966	PLEKHJ1	0.129119	0.035187	0.028708	0.144322
DGN-WB	922	ENSG00000132382.10	MYBBP1A	0.006850	0.013517	0.2922	MYBBP1A	0.131446	0.155843	0.1953	MYBBP1A	0.009201	0.014603	0.148736	0.156180
DGN-WB	922	ENSG00000179820.11	MYADM	0.027594	0.022406	0.08317	MYADM	0.131444	0.155171	0.1916	MYADM	0.029013	0.022461	0.151817	0.155454
DGN-WB	922	ENSG00000160014.12	CALM3	0.094491	0.030448	1.291e-06	CALM3	0.131288	0.157747	0.2018	CALM3	0.095004	0.030479	0.143336	0.147480
DGN-WB	922	ENSG00000138604.5	GLCE	0.050841	0.023257	4.736e-05	GLCE	0.131234	0.150681	0.1766	GLCE	0.049757	0.023038	0.092769	0.146252
DGN-WB	922	ENSG00000023287.8	RB1CC1	0.003103	0.010138	0.3796	RB1CC1	0.131218	0.155471	0.1953	RB1CC1	0.003720	0.010290	0.135202	0.155447
DGN-WB	922	ENSG00000101608.7	MYL12A	0.045981	0.024803	0.01407	MYL12A	0.131022	0.148828	0.1729	MYL12A	0.047680	0.025080	0.148722	0.147898
DGN-WB	922	ENSG00000160075.10	SSU72	0.207699	0.045073	0	SSU72	0.130981	0.149286	0.1844	SSU72	0.208536	0.045114	0.163226	0.127341
DGN-WB	922	ENSG00000143224.12	PPOX	0.162630	0.038840	0	PPOX	0.130968	0.154319	0.201	PPOX	0.163347	0.038920	0.122278	0.137795
DGN-WB	922	ENSG00000198894.3	KIAA1737	0.376349	0.044262	0	KIAA1737	0.130890	0.163133	0.22	KIAA1737	0.376491	0.044277	0.070093	0.115184
DGN-WB	922	ENSG00000156467.5	UQCRB	0.000001	0.010983	0.5	UQCRB	0.130873	0.151063	0.1829	UQCRB	0.000001	0.010953	0.127930	0.150945
DGN-WB	922	ENSG00000237440.4	ZNF737	0.386538	0.064177	0	ZNF737	0.130869	0.147980	0.1694	ZNF737	0.386062	0.064174	0.083352	0.095329
DGN-WB	922	ENSG00000163710.3	PCOLCE2	0.023144	0.016802	0.02161	PCOLCE2	0.130867	0.154588	0.1968	PCOLCE2	0.022725	0.016607	0.129259	0.154165
DGN-WB	922	ENSG00000138688.11	KIAA1109	0.028600	0.017615	0.003893	KIAA1109	0.130784	0.151651	0.1821	KIAA1109	0.028506	0.017598	0.128287	0.150743
DGN-WB	922	ENSG00000104388.10	RAB2A	0.166497	0.039569	0	RAB2A	0.130775	0.153722	0.1901	RAB2A	0.165691	0.039473	0.107114	0.132181
DGN-WB	922	ENSG00000011021.17	CLCN6	0.255519	0.042534	0	CLCN6	0.130738	0.158454	0.215	CLCN6	0.253950	0.042410	0.127022	0.124460
DGN-WB	922	ENSG00000165912.11	PACSIN3	0.018694	0.014150	0.002565	PACSIN3	0.130728	0.152609	0.1875	PACSIN3	0.018477	0.013998	0.125468	0.151450
DGN-WB	922	ENSG00000184164.10	CRELD2	0.218025	0.038380	0	CRELD2	0.130697	0.151991	0.184	CRELD2	0.169692	0.031206	0.000001	0.142992
DGN-WB	922	ENSG00000144550.8	CPNE9	0.017824	0.020827	0.2381	CPNE9	0.130511	0.152711	0.1908	CPNE9	0.019741	0.021228	0.142266	0.152466
DGN-WB	922	ENSG00000151743.6	AMN1	0.000001	0.012086	0.5	AMN1	0.130505	0.150609	0.1833	AMN1	0.000001	0.012272	0.129827	0.150619
DGN-WB	922	ENSG00000131446.11	MGAT1	0.165580	0.041134	8.23e-10	MGAT1	0.130397	0.152981	0.1898	MGAT1	0.165564	0.041097	0.111514	0.136436
DGN-WB	922	ENSG00000163961.4	RNF168	0.168361	0.038350	0	RNF168	0.130385	0.158713	0.2087	RNF168	0.168212	0.038332	0.106602	0.138275
DGN-WB	922	ENSG00000125826.15	RBCK1	0.145283	0.039664	3.175e-06	RBCK1	0.130367	0.160822	0.2122	RBCK1	0.146249	0.039680	0.138742	0.148214
DGN-WB	922	ENSG00000137628.12	DDX60	0.017823	0.016757	0.1064	DDX60	0.130220	0.159506	0.2098	DDX60	0.018199	0.016839	0.135925	0.158798
DGN-WB	922	ENSG00000126107.10	HECTD3	0.007369	0.009841	0.1418	HECTD3	0.130166	0.155611	0.2049	HECTD3	0.007324	0.009792	0.129314	0.155117
DGN-WB	922	ENSG00000184900.11	SUMO3	0.035194	0.019827	0.003949	SUMO3	0.130141	0.157558	0.2008	SUMO3	0.034644	0.019704	0.112393	0.156093
DGN-WB	922	ENSG00000137267.5	TUBB2A	0.702969	0.033807	0	TUBB2A	0.130027	0.146977	0.1709	TUBB2A	0.662209	0.037540	0.000001	0.063151
DGN-WB	922	ENSG00000040487.8	PQLC2	0.113212	0.029704	0	PQLC2	0.130021	0.162275	0.2294	PQLC2	0.114042	0.029864	0.100361	0.153616
DGN-WB	922	ENSG00000111640.10	GAPDH	0.174875	0.036626	0	GAPDH	0.130002	0.150034	0.1831	GAPDH	0.173628	0.036422	0.123869	0.130214
DGN-WB	922	ENSG00000111843.9	TMEM14C	0.203011	0.051287	2.938e-07	TMEM14C	0.129944	0.158152	0.2082	TMEM14C	0.203747	0.051321	0.129091	0.136767
DGN-WB	922	ENSG00000184500.10	PROS1	0.023098	0.017746	0.01007	PROS1	0.129851	0.150355	0.1822	PROS1	0.022078	0.017213	0.120263	0.148675
DGN-WB	922	ENSG00000131462.3	TUBG1	0.018998	0.013710	0.008573	TUBG1	0.129839	0.157170	0.2025	TUBG1	0.019248	0.013853	0.129981	0.155288
DGN-WB	922	ENSG00000135392.11	DNAJC14	0.000001	0.007425	0.5	DNAJC14	0.129826	0.155198	0.1988	DNAJC14	0.000001	0.007623	0.129635	0.155209
DGN-WB	922	ENSG00000056050.6	C4orf27	0.000001	0.009804	0.5	C4orf27	0.129687	0.162073	0.221	C4orf27	0.000001	0.009840	0.125529	0.161667
DGN-WB	922	ENSG00000180263.9	FGD6	0.119337	0.030055	0	FGD6	0.129645	0.157398	0.2066	FGD6	0.119267	0.030048	0.055484	0.144805
DGN-WB	922	ENSG00000075884.8	ARHGAP15	0.247199	0.046258	0	ARHGAP15	0.129627	0.149048	0.1834	ARHGAP15	0.228028	0.044061	0.000001	0.118309
DGN-WB	922	ENSG00000180233.9	ZNRF2	0.006252	0.013904	0.321	ZNRF2	0.129505	0.160234	0.2165	ZNRF2	0.006059	0.013766	0.128993	0.160318
DGN-WB	922	ENSG00000189283.5	FHIT	0.099787	0.032973	2.805e-05	FHIT	0.129493	0.163717	0.2285	FHIT	0.100261	0.032961	0.151770	0.158052
DGN-WB	922	ENSG00000164405.6	UQCRQ	0.006437	0.011615	0.2559	UQCRQ	0.129459	0.151316	0.1869	UQCRQ	0.006250	0.011466	0.127998	0.150996
DGN-WB	922	ENSG00000138346.10	DNA2	0.113692	0.034360	5.551e-17	DNA2	0.129363	0.157863	0.2096	DNA2	0.113790	0.034427	0.082105	0.142253
DGN-WB	922	ENSG00000105639.14	JAK3	0.000001	0.017377	0.5	JAK3	0.129328	0.157268	0.2047	JAK3	0.000001	0.017131	0.116910	0.156869
DGN-WB	922	ENSG00000132507.13	EIF5A	0.252253	0.043343	0	EIF5A	0.129279	0.158386	0.2082	EIF5A	0.256057	0.043530	0.189329	0.133283
DGN-WB	922	ENSG00000172239.9	PAIP1	0.013412	0.012751	0.09651	PAIP1	0.129252	0.160807	0.2189	PAIP1	0.013515	0.012741	0.137364	0.160786
DGN-WB	922	ENSG00000159210.5	SNF8	0.048768	0.021334	3.967e-07	SNF8	0.129248	0.160382	0.215	SNF8	0.049483	0.021583	0.129800	0.153874
DGN-WB	922	ENSG00000100271.12	TTLL1	0.222596	0.049360	7.455e-11	TTLL1	0.129244	0.154405	0.1946	TTLL1	0.226275	0.049620	0.156526	0.130771
DGN-WB	922	ENSG00000104331.4	IMPAD1	0.000001	0.011346	0.5	IMPAD1	0.129239	0.161603	0.2184	IMPAD1	0.000001	0.011454	0.128792	0.161623
DGN-WB	922	ENSG00000111834.8	RSPH4A	0.016989	0.016479	0.1263	RSPH4A	0.129217	0.162387	0.2228	RSPH4A	0.018072	0.016963	0.134230	0.161809
DGN-WB	922	ENSG00000106804.6	C5	0.174000	0.040133	0	C5	0.129215	0.161622	0.2192	C5	0.175087	0.040173	0.274574	0.142845
DGN-WB	922	ENSG00000026950.12	BTN3A1	0.107622	0.036995	4.496e-15	BTN3A1	0.129170	0.163618	0.2279	BTN3A1	0.107002	0.036889	0.026093	0.148401
DGN-WB	922	ENSG00000085840.7	ORC1	0.005001	0.008309	0.2083	ORC1	0.129169	0.149897	0.1876	ORC1	0.005505	0.008502	0.140166	0.150647
DGN-WB	922	ENSG00000104918.4	RETN	0.000001	0.014866	0.5	RETN	0.128934	0.156220	0.2001	RETN	0.000001	0.014777	0.122969	0.156010
DGN-WB	922	ENSG00000140386.8	SCAPER	0.176175	0.044079	0	SCAPER	0.128869	0.156965	0.2044	SCAPER	0.181312	0.044769	0.308462	0.135922
DGN-WB	922	ENSG00000011198.3	ABHD5	0.017943	0.014850	0.04188	ABHD5	0.128804	0.154214	0.1992	ABHD5	0.017223	0.014547	0.115085	0.153204
DGN-WB	922	ENSG00000118402.5	ELOVL4	0.060273	0.025515	3.088e-06	ELOVL4	0.128796	0.152352	0.1929	ELOVL4	0.060773	0.025594	0.141418	0.148727
DGN-WB	922	ENSG00000165102.10	HGSNAT	0.033600	0.020188	4.057e-05	HGSNAT	0.128740	0.171941	0.2515	HGSNAT	0.034858	0.020648	0.204240	0.167692
DGN-WB	922	ENSG00000249437.3	NAIP	0.024361	0.019041	0.03251	NAIP	0.128682	0.160158	0.2158	NAIP	0.026483	0.019981	0.155722	0.158666
DGN-WB	922	ENSG00000177096.4	FAM109B	0.271507	0.055866	0	FAM109B	0.128669	0.158807	0.2082	FAM109B	0.271649	0.055884	0.034669	0.119161
DGN-WB	922	ENSG00000162931.7	TRIM17	0.040948	0.022287	0.001992	TRIM17	0.128519	0.152949	0.1993	TRIM17	0.040270	0.022078	0.113673	0.151214
