AssociatedGeneName	EnsemblGeneID	h2.CrossTissue	se.CrossTissue	h2.AdiposeSubcutaneous	se.AdiposeSubcutaneous	h2.ArteryTibial	se.ArteryTibial	h2.HeartLeftVentricle	se.HeartLeftVentricle	h2.Lung	se.Lung	h2.MuscleSkeletal	se.MuscleSkeletal	h2.NerveTibial	se.NerveTibial	h2.SkinSunExposedLowerleg	se.SkinSunExposedLowerleg	h2.Thyroid	se.Thyroid	h2.WholeBlood	se.WholeBlood
TRIB2	ENSG00000071575.7	1e-06	0.015586	0.008059	0.027407	0.005485	0.026834	1e-06	0.0803	1e-06	0.033933	1e-06	0.033055	1e-06	0.031313	0.015227	0.033767	1e-06	0.022624	1e-06	0.021464
SEPHS1	ENSG00000086475.10	0.014794	0.029082	1e-06	0.058472	0.011694	0.058834	1e-06	0.111876	1e-06	0.075504	0.075299	0.064127	1e-06	0.076744	1e-06	0.059893	1e-06	0.055953	1e-06	0.048086
ZNF223	ENSG00000178386.8	0.066393	0.053353	0.062871	0.080962	1e-06	0.083495	1e-06	0.109268	0.039613	0.078927	1e-06	0.055306	1e-06	0.081531	1e-06	0.069774	0.09035	0.087122	1e-06	0.067282
TBC1D10C	ENSG00000175463.7	0.038615	0.029895	0.010284	0.033351	1e-06	0.048821	0.005139	0.063126	0.013603	0.040339	1e-06	0.034313	0.022128	0.047259	0.013791	0.045204	1e-06	0.042772	1e-06	0.034244
ESYT2	ENSG00000117868.11	0.037216	0.028411	0.088815	0.063077	1e-06	0.039433	0.025674	0.046147	1e-06	0.052722	0.022298	0.029976	0.138334	0.065068	0.094467	0.058214	0.154311	0.070388	0.141004	0.057666
SLC25A27	ENSG00000153291.11	0.497392	0.062855	0.255411	0.079871	0.384007	0.081459	0.497699	0.099372	0.171481	0.077056	0.315059	0.071324	0.377503	0.089869	0.324104	0.082728	0.252315	0.088696	0.087322	0.061075
EMR1	ENSG00000174837.10	0.192592	0.062094	1e-06	0.03649	1e-06	0.060903	0.068529	0.097496	0.298498	0.097914	1e-06	0.038266	0.211998	0.092312	1e-06	0.055038	1e-06	0.053195	0.267525	0.083441
PTK6	ENSG00000101213.5	0.125066	0.047756	1e-06	0.060932	1e-06	0.05288	1e-06	0.080763	1e-06	0.06131	1e-06	0.05718	0.003375	0.044311	1e-06	0.052468	1e-06	0.056736	1e-06	0.047527
CYTH1	ENSG00000108669.12	0.042339	0.032011	1e-06	0.041786	1e-06	0.043481	1e-06	0.075063	1e-06	0.058107	1e-06	0.037864	0.039269	0.057959	1e-06	0.038118	1e-06	0.052861	1e-06	0.033478
ZNF121	ENSG00000197961.7	0.022221	0.028992	0.026769	0.048842	1e-06	0.042661	0.019516	0.054152	1e-06	0.053194	0.083471	0.054065	0.015269	0.05043	1e-06	0.050509	0.004911	0.047315	0.004549	0.029898
FAM19A2	ENSG00000198673.6	1e-06	0.030326	0.052534	0.051076	1e-06	0.039569	1e-06	0.068356	1e-06	0.065522	0.014564	0.03792	0.012098	0.051798	0.04501	0.0506	1e-06	0.05828	0.014071	0.042494
NECAP1	ENSG00000089818.12	0.025522	0.028511	1e-06	0.030153	1e-06	0.031082	1e-06	0.055081	0.038779	0.043977	1e-06	0.031	0.122459	0.076952	0.009642	0.034153	1e-06	0.061104	1e-06	0.026167
RGS14	ENSG00000169220.13	0.483167	0.069049	0.080178	0.066061	0.305939	0.081341	0.323151	0.106384	0.071784	0.06154	0.264612	0.075103	0.268891	0.090629	0.274687	0.07619	0.120365	0.072004	1e-06	0.036335
CCDC146	ENSG00000135205.10	0.088022	0.047292	0.199541	0.079892	0.034617	0.052385	0.0146	0.054975	1e-06	0.045714	0.075895	0.055753	0.242216	0.094434	0.010379	0.038255	0.145903	0.071486	0.245962	0.070255
ADAMTS7	ENSG00000136378.10	0.045094	0.042325	0.02477	0.045403	0.118348	0.06673	0.194065	0.102732	1e-06	0.042184	0.028401	0.043277	0.032437	0.057119	0.073827	0.057747	0.004943	0.048296	0.069493	0.053806
TIGD3	ENSG00000173825.6	0.123795	0.048151	0.09798	0.062677	1e-06	0.036489	1e-06	0.051273	0.034203	0.044818	1e-06	0.029785	1e-06	0.037808	1e-06	0.032207	0.076414	0.058816	0.058565	0.043556
ZNF333	ENSG00000160961.7	0.205925	0.060866	0.265895	0.083396	0.15757	0.075242	0.260999	0.117963	0.354144	0.09077	0.217854	0.066742	0.269501	0.097114	0.071522	0.067524	0.303396	0.090285	0.382699	0.074751
C19orf25	ENSG00000119559.11	0.060223	0.039868	1e-06	0.058879	0.115394	0.083794	1e-06	0.090994	1e-06	0.087555	1e-06	0.053176	0.128923	0.083157	0.051555	0.064664	1e-06	0.070198	0.139862	0.081117
SLC26A5	ENSG00000170615.10	0.069532	0.03985	1e-06	0.029788	1e-06	0.037701	1e-06	0.079987	1e-06	0.039185	0.006514	0.030253	0.024219	0.047843	1e-06	0.033211	0.089784	0.060539	0.144535	0.063785
TACR2	ENSG00000075073.10	0.191387	0.056823	1e-06	0.04886	0.142868	0.07601	0.094157	0.098878	1e-06	0.049646	0.07729	0.059055	0.073313	0.065366	0.008051	0.048636	0.004076	0.048883	0.167212	0.067072
ABCC8	ENSG00000006071.7	0.214737	0.067338	0.021151	0.046259	0.004829	0.045947	0.333544	0.112406	0.002548	0.038742	0.37356	0.078813	0.176125	0.078897	0.124957	0.074029	0.108777	0.074041	0.124831	0.063952
C19orf48	ENSG00000167747.9	0.079232	0.051497	0.203397	0.085557	1e-06	0.051934	0.212722	0.122364	1e-06	0.059284	1e-06	0.050533	0.193854	0.095167	1e-06	0.052226	0.1029	0.092761	1e-06	0.04885
KIF18B	ENSG00000186185.9	1e-06	0.026592	1e-06	0.038711	1e-06	0.034695	1e-06	0.05489	1e-06	0.026981	1e-06	0.03376	1e-06	0.039546	1e-06	0.044085	0.01444	0.032696	1e-06	0.027764
SGIP1	ENSG00000118473.17	0.116474	0.04854	0.058697	0.049243	0.099461	0.059705	0.412902	0.099727	0.054885	0.059842	0.106002	0.04736	0.096177	0.064875	0.035685	0.037168	0.110664	0.061786	0.197737	0.062223
TMEM132D	ENSG00000151952.10	0.00757	0.034732	1e-06	0.086608	1e-06	0.095166	1e-06	0.096391	0.114677	0.099307	1e-06	0.062464	1e-06	0.093354	1e-06	0.069598	1e-06	0.066378	0.358389	0.09115
WDR19	ENSG00000157796.13	0.15351	0.056831	0.016453	0.037815	0.050421	0.045731	0.055363	0.068666	0.069315	0.052767	1e-06	0.037559	0.011875	0.043168	0.073861	0.059383	0.095057	0.063357	0.10971	0.052661
FLVCR1	ENSG00000162769.8	0.222816	0.058677	0.141689	0.070824	0.183673	0.073624	0.221354	0.096899	0.107674	0.069022	0.057727	0.049972	0.060414	0.057713	0.126554	0.066039	0.224331	0.075974	0.284775	0.06749
TAF1C	ENSG00000103168.12	0.604541	0.060504	0.475031	0.096912	0.313068	0.098651	0.2223	0.135777	0.519507	0.091791	0.29513	0.086117	0.664106	0.084712	0.229726	0.086914	0.506486	0.089476	1e-06	0.07206
FCRLB	ENSG00000162746.10	0.183669	0.057703	0.123605	0.069206	0.100848	0.057711	0.027718	0.072161	0.031633	0.047967	1e-06	0.040873	1e-06	0.052042	0.14303	0.075386	0.032781	0.052392	0.084075	0.058458
FAM227A	ENSG00000184949.10	0.076675	0.039163	0.153856	0.062101	0.192971	0.070787	0.086409	0.069723	0.074529	0.054056	0.007793	0.026349	0.288221	0.079289	0.340028	0.071524	0.137884	0.061304	0.006579	0.038492
MAPK8IP3	ENSG00000138834.8	0.092194	0.050095	1e-06	0.043813	1e-06	0.057776	1e-06	0.07372	1e-06	0.055136	0.094647	0.063924	1e-06	0.054916	1e-06	0.058918	0.000644	0.053042	0.034351	0.053635
ST14	ENSG00000149418.6	0.05967	0.035505	1e-06	0.056232	1e-06	0.042211	1e-06	0.080254	1e-06	0.040416	1e-06	0.034894	1e-06	0.049282	0.007983	0.034893	1e-06	0.038775	1e-06	0.04473
HDDC2	ENSG00000111906.12	0.567061	0.053325	0.339989	0.083682	0.231782	0.086626	0.449503	0.100811	0.280575	0.079016	0.414247	0.072704	0.131713	0.079507	0.335203	0.075065	0.335031	0.078565	0.271596	0.066405
PF4V1	ENSG00000109272.3	0.124803	0.050963	1e-06	0.039238	1e-06	0.034997	1e-06	0.049542	0.029252	0.050317	1e-06	0.035334	1e-06	0.037844	1e-06	0.036441	1e-06	0.043696	0.093858	0.053403
H1F0	ENSG00000189060.4	1e-06	0.029756	1e-06	0.053847	1e-06	0.044574	0.024953	0.068758	0.003678	0.042872	1e-06	0.034361	1e-06	0.054324	0.023356	0.047349	1e-06	0.053625	0.243128	0.075998
SAMD4A	ENSG00000020577.9	0.01983	0.032202	1e-06	0.046217	1e-06	0.060211	1e-06	0.073405	0.026164	0.062735	0.008522	0.042595	1e-06	0.076014	1e-06	0.047427	1e-06	0.049114	1e-06	0.054131
SDHC	ENSG00000143252.9	0.077236	0.041121	0.078147	0.060748	1e-06	0.048553	1e-06	0.082809	1e-06	0.040735	0.021569	0.032097	1e-06	0.051541	1e-06	0.039268	0.136629	0.072946	0.35483	0.072486
ZNF320	ENSG00000182986.8	0.704644	0.049258	0.436783	0.092318	0.323634	0.11036	0.253597	0.129171	0.699819	0.070325	0.394371	0.082224	0.358333	0.110598	0.37111	0.090903	0.339169	0.109718	0.147058	0.077895
PM20D1	ENSG00000162877.8	0.628416	0.048528	0.480083	0.070735	0.340849	0.077363	0.52534	0.087734	0.404556	0.077516	0.093238	0.051743	0.606512	0.068522	0.064934	0.051462	0.457078	0.070086	0.320896	0.066009
CARD11	ENSG00000198286.5	0.005599	0.026849	1e-06	0.044181	0.035165	0.05785	1e-06	0.061022	1e-06	0.044625	1e-06	0.040913	1e-06	0.057	1e-06	0.044607	1e-06	0.050722	1e-06	0.052378
SCD5	ENSG00000145284.7	0.061481	0.042144	0.033758	0.052265	1e-06	0.047934	0.049666	0.072098	1e-06	0.035455	0.01465	0.039104	1e-06	0.062347	1e-06	0.037746	1e-06	0.044688	0.126214	0.058097
SIGLEC10	ENSG00000142512.10	1e-06	0.033637	0.022028	0.059226	1e-06	0.062099	1e-06	0.112952	1e-06	0.07657	1e-06	0.05062	1e-06	0.061879	1e-06	0.050185	0.03878	0.058691	0.131446	0.074811
SELL	ENSG00000188404.4	0.045078	0.03302	1e-06	0.038596	0.043578	0.043326	0.010949	0.050729	1e-06	0.02943	0.036411	0.03958	0.111164	0.06652	1e-06	0.029347	1e-06	0.046578	0.173571	0.068372
RASL11A	ENSG00000122035.6	0.039518	0.039376	0.122151	0.071842	0.052744	0.060911	1e-06	0.094561	1e-06	0.051024	0.0293	0.049164	0.058787	0.074208	0.027428	0.052355	1e-06	0.048837	0.15326	0.070296
LRRC43	ENSG00000158113.8	0.390844	0.067059	0.166022	0.071063	0.106994	0.060884	1e-06	0.056618	0.053419	0.048754	0.044776	0.038012	0.108146	0.061529	0.205257	0.075507	0.147974	0.067995	0.040575	0.042391
DCTN4	ENSG00000132912.8	0.055081	0.037145	1e-06	0.058869	1e-06	0.057656	1e-06	0.062209	1e-06	0.040241	1e-06	0.032425	1e-06	0.054374	0.024319	0.057223	1e-06	0.063574	1e-06	0.044061
FOLR3	ENSG00000110203.4	0.008152	0.025921	1e-06	0.044185	1e-06	0.041526	0.02031	0.078383	1e-06	0.041882	1e-06	0.031194	0.025927	0.051483	1e-06	0.040985	1e-06	0.046267	0.00872	0.031272
CCDC79	ENSG00000249961.5	0.054437	0.038793	1e-06	0.035196	0.051055	0.052576	1e-06	0.05316	0.020644	0.043812	1e-06	0.035822	0.000792	0.024904	1e-06	0.040777	1e-06	0.02586	0.091404	0.057051
G0S2	ENSG00000123689.5	0.001548	0.019481	1e-06	0.043832	0.009125	0.041256	0.1884	0.105977	0.007488	0.046555	0.012397	0.039972	0.034756	0.06056	1e-06	0.043335	1e-06	0.051746	0.07632	0.055531
L1TD1	ENSG00000240563.1	0.635117	0.054158	0.579213	0.073538	0.094935	0.06613	0.032861	0.093484	0.158428	0.081233	0.067237	0.053866	0.662765	0.076702	0.258471	0.086598	0.559079	0.083333	0.044182	0.05425
FAM196B	ENSG00000204767.3	0.133248	0.057979	1e-06	0.046362	0.00329	0.047486	1e-06	0.086837	0.045063	0.068496	0.002732	0.045823	1e-06	0.065984	0.095204	0.075806	0.071138	0.062743	1e-06	0.041982
IL21R	ENSG00000103522.11	0.241165	0.05835	0.037631	0.054085	0.108846	0.073576	0.11068	0.094877	1e-06	0.057581	0.051214	0.042338	0.24955	0.088171	0.065123	0.064278	0.123621	0.058046	1e-06	0.054566
AIP	ENSG00000110711.4	1e-06	0.032694	0.019999	0.043493	1e-06	0.059227	1e-06	0.075802	0.00749	0.03955	1e-06	0.030585	1e-06	0.061164	1e-06	0.045226	0.066558	0.062187	0.023748	0.03643
NAIF1	ENSG00000171169.8	0.039415	0.028983	0.06097	0.051441	1e-06	0.042955	1e-06	0.064954	1e-06	0.046264	1e-06	0.02857	0.050238	0.054896	1e-06	0.046778	1e-06	0.039821	1e-06	0.029623
DMWD	ENSG00000185800.7	1e-06	0.040247	1e-06	0.051211	1e-06	0.067671	1e-06	0.09503	0.011677	0.072998	1e-06	0.063061	1e-06	0.077739	0.002069	0.063921	0.079623	0.083246	1e-06	0.055631
MAP2K7	ENSG00000076984.13	0.070215	0.04896	0.007064	0.050669	1e-06	0.062559	0.026775	0.098934	1e-06	0.057261	1e-06	0.050243	1e-06	0.062971	1e-06	0.048512	0.087579	0.076677	1e-06	0.042924
SEC23A	ENSG00000100934.10	0.085775	0.05108	1e-06	0.040987	1e-06	0.037245	1e-06	0.054751	1e-06	0.023907	1e-06	0.037001	0.031934	0.042658	1e-06	0.04246	0.093691	0.064439	1e-06	0.041648
CCDC66	ENSG00000180376.12	0.457474	0.062744	0.230071	0.077309	0.393313	0.079812	0.198892	0.091329	0.181737	0.071135	0.217247	0.068725	0.359205	0.087687	0.086499	0.065096	0.31591	0.077568	0.285831	0.070217
SYNGR1	ENSG00000100321.10	0.032771	0.03206	1e-06	0.052054	0.100753	0.069339	0.003798	0.054314	1e-06	0.043985	0.0483	0.046277	0.364364	0.089299	0.05005	0.053318	0.284661	0.090144	0.210213	0.067054
POU6F1	ENSG00000184271.11	0.01556	0.020619	1e-06	0.037688	1e-06	0.032965	0.004024	0.051992	1e-06	0.045657	0.028442	0.034127	0.044027	0.056931	0.09078	0.071186	0.012809	0.035834	1e-06	0.031435
GNG7	ENSG00000176533.8	0.095271	0.049282	1e-06	0.053092	1e-06	0.067871	0.119795	0.111791	0.121938	0.082672	1e-06	0.044711	0.037346	0.071637	0.002704	0.047324	0.026927	0.061238	0.050916	0.059078
IL11	ENSG00000095752.2	0.029242	0.035882	0.05834	0.07219	1e-06	0.0688	1e-06	0.134916	0.099184	0.08899	1e-06	0.054319	1e-06	0.073108	1e-06	0.071504	1e-06	0.055577	1e-06	0.062548
NDFIP1	ENSG00000131507.9	0.019678	0.030144	0.133696	0.07843	0.073838	0.073193	0.086828	0.089046	0.038881	0.059815	0.263423	0.067498	1e-06	0.053671	1e-06	0.069044	1e-06	0.044551	0.103608	0.061666
TANC2	ENSG00000170921.10	0.017407	0.02593	1e-06	0.0347	0.008937	0.03479	1e-06	0.048181	1e-06	0.037499	0.061074	0.044382	1e-06	0.044105	1e-06	0.031986	0.038312	0.04105	0.031344	0.033713
SLC17A4	ENSG00000146039.6	0.001629	0.019569	0.006075	0.040573	0.056612	0.056873	1e-06	0.082724	1e-06	0.051469	1e-06	0.028178	1e-06	0.055009	1e-06	0.039939	0.025705	0.052054	0.097535	0.05938
PAPD4	ENSG00000164329.9	0.023967	0.033013	1e-06	0.055925	0.238824	0.085993	0.15654	0.103826	1e-06	0.063106	1e-06	0.05238	1e-06	0.061329	1e-06	0.061184	0.044673	0.060064	1e-06	0.041188
FAM170B	ENSG00000172538.6	0.280731	0.057686	0.105599	0.060253	0.055267	0.057206	1e-06	0.062694	0.077157	0.053951	1e-06	0.037838	0.030877	0.050163	1e-06	0.03937	0.073013	0.055329	0.129486	0.056435
GLDC	ENSG00000178445.8	0.127401	0.052847	1e-06	0.045598	1e-06	0.049246	1e-06	0.08867	0.394014	0.09355	0.155233	0.06621	0.071116	0.078221	1e-06	0.051615	0.585949	0.076468	0.052161	0.054012
RSPRY1	ENSG00000159579.9	0.223014	0.06251	0.157551	0.082565	1e-06	0.063775	1e-06	0.08776	0.059063	0.065794	1e-06	0.045917	0.070722	0.077104	1e-06	0.06137	0.19227	0.088056	0.05715	0.060848
TMEM223	ENSG00000168569.7	0.133012	0.056513	1e-06	0.041124	1e-06	0.038544	1e-06	0.060993	0.014626	0.050112	1e-06	0.034978	0.008446	0.040907	0.066329	0.057869	1e-06	0.042401	0.093929	0.062675
SETD8	ENSG00000183955.8	0.025508	0.030722	1e-06	0.038513	0.171084	0.081708	0.014219	0.056463	1e-06	0.036639	0.162773	0.064192	0.104245	0.066896	0.057129	0.050143	0.042253	0.046512	0.04765	0.037316
SDCCAG8	ENSG00000054282.11	0.349077	0.061569	0.186582	0.066859	0.078189	0.060914	0.12243	0.088764	0.077685	0.053603	0.041465	0.040381	0.407285	0.085512	0.067481	0.053592	0.210031	0.089923	0.187922	0.060399
ZC3HAV1	ENSG00000105939.8	0.028239	0.029129	0.104135	0.065097	0.045474	0.057815	0.034738	0.086211	1e-06	0.061748	1e-06	0.034095	1e-06	0.049682	1e-06	0.04458	1e-06	0.051635	0.049782	0.055224
CNOT3	ENSG00000088038.13	0.044664	0.050537	1e-06	0.068457	0.025446	0.068534	1e-06	0.110295	1e-06	0.068831	1e-06	0.060681	1e-06	0.071679	0.029472	0.066057	1e-06	0.074766	1e-06	0.056812
CDC42BPA	ENSG00000143776.14	0.305769	0.06719	0.184394	0.071509	0.349914	0.080533	0.12033	0.067991	0.107662	0.062216	0.118839	0.047186	0.126213	0.068359	0.056939	0.04334	0.052302	0.050844	0.128138	0.057959
SESTD1	ENSG00000187231.9	1e-06	0.022128	1e-06	0.051664	0.006784	0.043735	1e-06	0.060101	1e-06	0.038487	1e-06	0.038335	1e-06	0.056746	1e-06	0.052539	1e-06	0.047859	0.107694	0.057635
TMEM200A	ENSG00000164484.7	0.060142	0.038487	0.052555	0.051536	0.050378	0.050336	0.004948	0.061669	1e-06	0.040238	0.013889	0.032427	0.175479	0.079321	1e-06	0.041882	0.024246	0.054677	0.120308	0.062892
GTF3A	ENSG00000122034.8	0.047332	0.037766	0.020949	0.053185	0.066034	0.061325	0.156372	0.099808	0.001361	0.05095	0.008092	0.043586	1e-06	0.066859	0.16678	0.079677	1e-06	0.064938	0.030756	0.045463
FGD5	ENSG00000154783.6	0.005946	0.024093	1e-06	0.063869	1e-06	0.035991	0.183383	0.103365	0.007123	0.044308	1e-06	0.038753	1e-06	0.04663	1e-06	0.049053	0.056438	0.064345	0.023506	0.03755
TMEM64	ENSG00000180694.9	1e-06	0.019928	1e-06	0.047277	1e-06	0.053882	1e-06	0.057316	0.025929	0.048255	0.013165	0.038482	0.002756	0.049541	1e-06	0.043183	1e-06	0.040746	0.05687	0.056405
TPO	ENSG00000115705.16	1e-06	0.029818	1e-06	0.037068	1e-06	0.034493	1e-06	0.051382	0.005376	0.028082	1e-06	0.030023	1e-06	0.034882	1e-06	0.040694	1e-06	0.028914	0.007892	0.030524
SLC24A3	ENSG00000185052.7	0.056146	0.047675	1e-06	0.048753	0.216556	0.082819	1e-06	0.071622	1e-06	0.056882	0.019436	0.044717	1e-06	0.055974	1e-06	0.046634	1e-06	0.072091	0.134382	0.066175
AP3M1	ENSG00000185009.8	1e-06	0.01325	1e-06	0.03093	0.001534	0.020412	1e-06	0.030793	0.068639	0.059441	0.126377	0.057549	0.042614	0.04669	0.023524	0.032656	1e-06	0.022676	0.138378	0.061193
TUBA3C	ENSG00000198033.7	0.051802	0.035114	1e-06	0.04241	1e-06	0.040644	1e-06	0.061519	0.081781	0.058153	1e-06	0.034243	1e-06	0.028899	0.009267	0.028031	1e-06	0.034322	0.145029	0.059176
ECHDC2	ENSG00000121310.12	0.100632	0.052118	1e-06	0.043686	0.047887	0.049658	0.082095	0.085981	0.055153	0.051842	0.124118	0.055547	0.027734	0.052483	0.052477	0.0523	0.069745	0.062625	0.13002	0.058275
COPS3	ENSG00000141030.8	0.011911	0.035721	0.043004	0.059153	1e-06	0.060117	1e-06	0.084315	0.030437	0.063298	1e-06	0.052021	0.02365	0.06269	1e-06	0.046845	1e-06	0.057785	0.000311	0.039432
FAM193A	ENSG00000125386.10	1e-06	0.025159	1e-06	0.037053	1e-06	0.053739	1e-06	0.082327	1e-06	0.053629	1e-06	0.044317	0.02274	0.05445	1e-06	0.053023	1e-06	0.049613	0.067228	0.05412
ATP8A1	ENSG00000124406.12	0.319767	0.066747	0.406047	0.079645	0.237708	0.088451	0.164534	0.105111	1e-06	0.040703	0.427814	0.073997	0.078452	0.074222	0.305672	0.081904	1e-06	0.048101	0.018113	0.043963
FAAH	ENSG00000117480.11	0.310621	0.073507	0.230849	0.085972	0.161744	0.072609	0.198345	0.092539	0.018777	0.033286	0.062964	0.050443	1e-06	0.035354	0.274641	0.084071	0.106369	0.066263	0.161878	0.060945
KBTBD8	ENSG00000163376.7	0.02655	0.028475	1e-06	0.046977	0.011502	0.042008	1e-06	0.05959	1e-06	0.038137	1e-06	0.039211	1e-06	0.058078	1e-06	0.045356	1e-06	0.043355	0.055891	0.049164
NPTXR	ENSG00000221890.2	0.070326	0.041204	1e-06	0.049024	1e-06	0.036403	1e-06	0.053215	0.04527	0.053185	0.006015	0.035775	0.012167	0.047413	0.01246	0.043742	1e-06	0.041201	0.272572	0.071714
C14orf28	ENSG00000179476.3	1e-06	0.023725	0.018571	0.037364	0.009948	0.032041	1e-06	0.049223	1e-06	0.036118	1e-06	0.027766	1e-06	0.036245	1e-06	0.038119	0.043271	0.049823	1e-06	0.024488
VPS13B	ENSG00000132549.14	0.184547	0.056307	0.116541	0.066748	0.159888	0.082101	1e-06	0.055532	0.020159	0.031477	0.083571	0.056857	0.100393	0.069604	1e-06	0.03762	0.12186	0.063745	0.004823	0.028975
FSD1	ENSG00000105255.6	0.039069	0.03757	1e-06	0.059174	0.003333	0.046423	0.005593	0.068949	1e-06	0.06338	1e-06	0.043269	0.312025	0.094935	1e-06	0.053332	1e-06	0.056544	1e-06	0.04359
TRIB3	ENSG00000101255.6	0.263326	0.069963	0.213062	0.086739	0.297482	0.100339	0.122486	0.107403	0.006983	0.056155	0.114848	0.068218	0.123351	0.095327	0.089407	0.07446	1e-06	0.069329	0.094625	0.075687
PDS5B	ENSG00000083642.14	0.034354	0.033307	0.087411	0.063316	1e-06	0.042451	1e-06	0.076983	1e-06	0.051805	0.053786	0.04736	0.009874	0.049891	1e-06	0.046585	0.0174	0.046266	0.030492	0.044251
UBE2C	ENSG00000175063.12	0.034544	0.033245	1e-06	0.054974	0.010545	0.043082	1e-06	0.086152	0.003014	0.038175	0.007519	0.039693	1e-06	0.062269	0.001323	0.046468	0.01637	0.046465	1e-06	0.042537
CEP78	ENSG00000148019.8	1e-06	0.02381	1e-06	0.050003	0.078334	0.059839	1e-06	0.078124	1e-06	0.052637	0.002612	0.025095	1e-06	0.052436	1e-06	0.034154	0.003205	0.040128	0.174343	0.074846
TMED1	ENSG00000099203.2	1e-06	0.028738	1e-06	0.042736	1e-06	0.035714	1e-06	0.072371	1e-06	0.055869	0.019621	0.039212	0.039635	0.067592	1e-06	0.03848	1e-06	0.045424	0.131735	0.064405
RPS6KA4	ENSG00000162302.8	0.042487	0.03329	1e-06	0.028348	1e-06	0.032043	0.000407	0.048493	1e-06	0.029163	1e-06	0.023891	1e-06	0.041004	0.009142	0.033503	1e-06	0.04305	0.205078	0.073789
GSTK1	ENSG00000197448.9	0.177678	0.062812	1e-06	0.040405	0.048911	0.050275	0.000573	0.044642	0.102889	0.067256	1e-06	0.04635	0.127239	0.071513	0.050275	0.056526	0.03479	0.050563	0.014403	0.037811
ART5	ENSG00000167311.9	0.032378	0.034696	1e-06	0.045289	1e-06	0.049196	1e-06	0.057063	0.02762	0.046354	1e-06	0.034627	1e-06	0.049012	0.000441	0.033467	0.013328	0.039669	0.116973	0.063828
FAM160A1	ENSG00000164142.11	1e-06	0.021739	1e-06	0.040249	1e-06	0.050179	1e-06	0.043273	1e-06	0.032459	0.004222	0.022932	0.014383	0.035192	1e-06	0.034596	1e-06	0.033805	0.047772	0.043237
CPVL	ENSG00000106066.9	0.019722	0.031403	1e-06	0.05465	1e-06	0.069649	1e-06	0.092605	1e-06	0.07001	1e-06	0.047784	0.058664	0.073545	1e-06	0.057301	0.007058	0.070298	1e-06	0.060827
HIST1H4H	ENSG00000158406.2	0.093362	0.051655	0.046675	0.052498	1e-06	0.045089	1e-06	0.082782	1e-06	0.065922	1e-06	0.045278	1e-06	0.064406	1e-06	0.051588	0.021301	0.051871	0.022909	0.047645
MTPN	ENSG00000105887.10	0.000227	0.021134	1e-06	0.044557	1e-06	0.03967	1e-06	0.094344	1e-06	0.053131	0.049483	0.047007	1e-06	0.05386	0.005512	0.039832	1e-06	0.038858	1e-06	0.03577
C3orf49	ENSG00000163632.8	1e-06	0.028867	1e-06	0.035374	1e-06	0.057641	1e-06	0.088846	1e-06	0.052467	1e-06	0.04642	1e-06	0.056766	1e-06	0.055432	1e-06	0.076071	0.146569	0.069478
RNF166	ENSG00000158717.6	0.435471	0.061434	0.241329	0.079245	0.260564	0.086684	0.125497	0.103533	0.063452	0.076311	0.256734	0.070578	0.161689	0.094061	0.238789	0.079415	0.30461	0.084732	0.269529	0.079745
ICAM4	ENSG00000105371.8	1e-06	0.028952	0.035899	0.043547	1e-06	0.026292	1e-06	0.0787	1e-06	0.038025	1e-06	0.039576	1e-06	0.036597	1e-06	0.040905	1e-06	0.040726	0.345348	0.078319
CD55	ENSG00000196352.9	0.081011	0.039967	0.04122	0.048934	0.139469	0.071163	1e-06	0.07886	0.105614	0.065538	0.034964	0.036507	0.085305	0.064262	0.017166	0.038136	0.152603	0.068977	0.172859	0.057052
SNX31	ENSG00000174226.4	0.604053	0.052751	0.614262	0.069326	0.324919	0.086818	0.466321	0.10796	0.186593	0.080882	0.351465	0.076343	0.703654	0.066018	0.03635	0.055687	0.556824	0.082735	0.014301	0.034968
WFDC1	ENSG00000103175.6	0.115244	0.067835	0.104728	0.093101	0.002588	0.062161	1e-06	0.107163	0.038957	0.074583	1e-06	0.05091	1e-06	0.082746	1e-06	0.054978	0.06359	0.076369	1e-06	0.057512
PCP2	ENSG00000174788.5	0.316908	0.060123	0.184947	0.090082	1e-06	0.058107	0.334394	0.124042	0.28771	0.087664	1e-06	0.056642	1e-06	0.069879	0.283401	0.077301	0.392444	0.084418	0.351523	0.074634
GPR114	ENSG00000159618.11	0.114509	0.053973	1e-06	0.063904	1e-06	0.055015	0.105076	0.100899	0.062081	0.070229	1e-06	0.053336	1e-06	0.057181	0.128127	0.077004	0.047521	0.068333	1e-06	0.049421
ARFGAP3	ENSG00000242247.6	0.108242	0.041473	0.048165	0.038902	0.117003	0.070004	0.185668	0.105326	0.085343	0.060061	0.137975	0.055984	0.009524	0.037983	0.042785	0.044267	0.264261	0.075554	0.094154	0.051173
MYO1F	ENSG00000142347.12	0.070275	0.046736	1e-06	0.045935	0.046786	0.054587	0.032215	0.074407	0.078494	0.071134	1e-06	0.034974	1e-06	0.061117	1e-06	0.060104	0.07806	0.07233	0.051071	0.054419
SIRPD	ENSG00000125900.8	0.097718	0.054386	1e-06	0.069744	1e-06	0.061146	1e-06	0.100255	1e-06	0.074585	1e-06	0.060115	1e-06	0.077511	0.019173	0.06574	1e-06	0.06166	0.186299	0.078216
